# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-141620 050Mg 500NaCl #009-001
# Original file ID: 96D00DE0-57C0-477D-98CC-1092F603FAF0
Bead-to-bead distance (um),Force (pN)
21.156,71.192
21.156,71.238
21.156,71.219
21.174,70.967
21.188,71.182
21.192,71.284
21.209,71.257
21.214,70.932
21.226,71.011
21.234,70.874
21.239,71.195
21.253,71.524
21.254,71.362
21.269,71.005
21.269,71.194
21.286,70.928
21.283,71.44
21.285,71.022
21.301,71.141
21.31,71.419
21.318,71.188
21.326,71.273
21.326,71.381
21.334,71.086
21.349,71.048
21.363,71.106
21.363,71.297
21.363,71.244
21.379,71.193
21.378,71.43
21.397,71.385
21.399,71.521
21.413,71.168
21.422,71.068
21.438,71.494
21.44,71.329
21.455,71.317
21.455,71.26
21.471,71.218
21.47,71.638
21.493,71.606
21.489,71.175
21.508,71.133
21.514,71.324
21.526,71.334
21.531,71.256
21.531,71.443
21.538,71.481
21.545,71.409
21.555,71.429
21.564,71.519
21.565,71.364
21.582,71.561
21.601,71.514
21.605,71.206
21.603,71.808
21.616,71.461
21.62,71.318
21.63,71.587
21.645,70.894
21.658,71.305
21.662,71.675
21.678,71.564
21.675,71.282
21.675,71.427
21.691,71.432
21.696,71.676
21.705,71.337
21.71,71.214
21.719,71.452
21.727,71.763
21.735,71.513
21.745,71.909
21.753,71.419
21.766,71.507
21.764,71.534
21.784,71.521
21.786,71.407
21.796,71.818
21.804,71.649
21.802,71.462
21.805,71.592
21.817,71.584
21.82,71.451
21.819,71.509
21.84,71.493
21.84,71.415
21.853,71.829
21.868,71.555
21.877,71.482
21.89,72.086
21.896,71.835
21.904,71.926
21.912,71.882
21.914,71.541
21.93,71.499
21.933,71.393
21.931,71.851
21.947,71.669
21.95,71.415
21.964,71.516
21.973,71.642
21.98,71.634
21.989,71.42
21.999,71.773
22.007,71.491
22.009,71.363
22.03,71.814
22.031,71.656
22.043,71.396
22.045,71.51
22.062,71.296
22.066,71.825
22.071,71.706
22.066,71.941
22.071,71.597
22.09,71.623
22.104,71.499
22.104,71.802
22.124,71.665
22.125,71.846
22.141,71.548
22.141,71.59
22.159,71.777
22.163,71.815
22.177,71.863
22.179,71.498
22.19,71.374
22.199,71.691
22.197,71.153
22.2,71.424
22.222,71.868
22.218,71.949
22.237,71.376
22.238,71.641
22.252,71.699
22.258,71.505
22.267,71.387
22.283,71.421
22.295,71.39
22.3,71.543
22.315,71.456
22.314,71.563
22.314,71.594
22.311,71.839
22.329,71.926
22.331,72.004
22.346,71.61
22.359,71.51
22.367,71.908
22.377,71.844
22.39,72.041
22.39,71.828
22.407,72.137
22.41,71.902
22.425,71.824
22.429,71.965
22.444,72.073
22.442,72.006
22.446,71.75
22.458,71.814
22.461,71.696
22.475,71.999
22.491,72.277
22.503,72.066
22.504,72.026
22.521,72.234
22.525,72.012
22.537,71.843
22.537,71.986
22.538,71.922
22.553,72.023
22.552,72.154
22.568,71.974
22.577,72.026
22.579,71.963
22.598,72.462
22.616,72.425
22.613,71.688
22.625,72.185
22.631,72.234
22.64,71.977
22.648,71.933
22.658,72.234
22.671,72.137
22.673,71.885
22.689,72.143
22.693,72.039
22.707,72.073
