# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-144939 150Mg 500NaCl #001-001
# Original file ID: 20487637-621C-4FA4-AA35-866E65754ECD
Bead-to-bead distance (um),Force (pN)
20.551,70.903
20.562,70.4
20.569,70.523
20.58,70.546
20.587,70.66
20.597,71.058
20.602,71.148
20.618,71.193
20.631,70.791
20.632,71.271
20.629,70.976
20.643,71.059
20.662,71.609
20.668,70.857
20.673,71.338
20.687,71.217
20.689,71.494
20.704,71.301
20.705,71
20.723,71.319
20.721,71.951
20.724,71.63
20.74,71.678
20.755,71.609
20.757,71.52
20.756,71.542
20.76,71.395
20.773,71.636
20.776,71.424
20.781,71.333
20.799,71.736
20.809,71.755
20.813,71.422
20.827,71.844
20.834,72.158
20.846,71.658
20.845,71.562
20.862,71.871
20.867,71.254
20.881,72.009
20.885,71.755
20.882,71.291
20.894,71.728
20.906,71.352
20.909,71.972
20.93,71.934
20.939,72.09
20.946,72.059
20.956,72.002
20.963,71.755
20.978,72.18
20.976,72.132
20.977,72.272
20.99,71.493
20.996,71.809
20.995,71.798
20.992,72.434
21.004,72.282
21.012,72.417
21.015,72.218
21.031,71.944
21.051,72.192
21.054,71.743
21.069,71.869
21.072,72.04
21.082,71.936
21.09,72.07
21.1,72.212
21.11,72.12
21.117,72.151
21.128,72.614
21.13,72.393
21.131,71.903
21.145,72.067
21.145,71.772
21.163,71.865
21.183,71.839
21.186,72.176
21.198,72.135
21.204,72.014
21.201,72.514
21.209,72.404
21.226,72.043
21.237,72.272
21.246,72.29
21.259,72.435
21.256,72.454
21.257,72.356
21.263,72.4
21.277,72.802
21.278,72.278
21.288,72.556
21.303,72.105
21.313,72.039
21.324,72.065
21.336,72.299
21.338,72.31
21.354,72.343
21.358,72.433
21.371,72.316
21.37,72.249
21.391,72.52
21.391,72.302
21.389,72.562
21.402,72.869
21.407,72.599
21.411,72.385
21.429,72.269
21.444,72.348
21.447,72.541
21.464,72.348
21.465,72.725
21.481,72.788
21.482,72.975
21.483,72.535
21.491,72.753
21.497,72.19
21.507,72.481
21.519,72.846
21.524,72.243
21.535,72.599
21.555,72.746
21.555,72.496
21.569,72.475
21.573,72.725
21.586,73.103
21.592,72.549
21.602,73.13
21.607,72.479
21.615,72.787
21.628,72.601
21.633,72.386
21.647,72.473
21.647,72.779
21.645,72.471
21.663,73.072
21.665,72.359
21.676,72.391
21.678,72.59
21.694,72.671
21.707,72.513
21.718,72.602
21.715,73.224
21.72,72.48
21.74,72.574
21.755,72.799
21.757,72.649
21.77,72.99
21.775,72.595
21.79,72.825
21.792,72.927
21.799,73.061
21.816,72.554
21.827,72.714
21.837,72.676
21.85,72.788
21.85,72.741
21.864,73.002
21.864,72.618
21.883,72.591
21.885,72.842
21.902,72.54
