# Lambda phage dsDNA (48.5 kb)
# Buffer conditions: 500 mM NaCl, 10 mM Tris-HCl (pH 7.6)
# Bead diameter (um): 3.05
# Original file: 20130903-143429 050Mg 500NaCl #012-001
# Original file ID: F98106BC-4D34-4225-9391-13E7A02B3DB0
Bead-to-bead distance (um),Force (pN)
20.77,68.023
20.773,68.143
20.788,68.207
20.8,68.599
20.803,68.417
20.817,68.69
20.824,68.238
20.817,68.366
20.82,68.588
20.836,68.937
20.848,69.079
20.855,68.822
20.864,68.673
20.874,69.092
20.874,69.221
20.876,68.975
20.891,68.317
20.909,68.553
20.916,68.98
20.933,68.932
20.931,68.828
20.946,68.39
20.948,68.227
20.964,68.323
20.969,68.741
20.98,68.609
20.986,69.142
20.993,68.61
21.007,68.658
21.004,68.024
21.007,68.427
21.028,68.889
21.028,68.653
21.038,68.929
21.045,69.085
21.057,68.652
21.068,69.033
21.082,69.278
21.088,68.935
21.101,69.096
21.105,69.177
21.12,69.542
21.134,69.098
21.137,69.247
21.158,68.962
21.156,68.586
21.158,68.752
21.168,68.763
21.187,68.825
21.197,68.98
21.204,69.34
21.214,69.233
21.22,69.263
21.228,68.882
21.236,68.949
21.25,68.961
21.258,68.787
21.27,68.671
21.271,68.958
21.29,69.272
21.29,68.967
21.303,68.814
21.308,68.967
21.305,68.731
21.318,69.146
21.324,68.927
21.322,68.773
21.333,68.8
21.344,68.77
21.347,68.613
21.364,68.706
21.365,68.922
21.382,69.135
21.382,69.026
21.392,68.994
21.402,69.299
21.41,69.328
21.416,69.353
21.424,69.152
21.436,69.442
21.439,69.343
21.451,69.233
21.471,69.113
21.47,68.943
21.485,69.43
21.493,68.73
21.502,69.038
21.513,69.335
21.517,69.09
21.526,69.315
21.533,69.33
21.546,69.142
21.545,69.398
21.548,69.545
21.564,69.377
21.564,69.245
21.579,69.12
21.583,69.207
21.597,69.498
21.6,69.209
21.607,68.874
21.62,68.814
21.641,69.368
21.644,69.306
21.657,69.581
21.66,68.917
21.673,69.52
21.673,69.059
21.69,69.267
21.692,69.428
21.693,69.361
21.699,69.292
21.71,69.824
21.72,69.557
21.725,69.124
21.736,69.482
21.751,68.993
21.752,69.137
